3,Château Pirouette Red Bordeaux Blend Médoc,France,"Bordeaux (-0.434217, 44.966195)",Pirouette,Bordeaux Blend,55.5,2005,Red Wine,3.5,3,91
4,Cameron Hughes Lot 99,USA,"California (-122.387185, 38.406418)",Cameron Hughes Wine,Cabernet Sauvignon,10,2004,Red Wine,3,3.388888889,86
5,Château Cadillac Sémillon-Sauvignon Blanc Blend Bordeaux Contrôlée,France,"Bordeaux (-0.434217, 44.966195)",Chateau Cadillac,Bordeaux Blend,9.99,2005,Red Wine,2.5,2.666666667,85
6,Château de Flaugergues Red Rhone Blend Coteaux du Languedoc la Méjanelle,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château de Flaugergues,Syrah,11.99,2007,Red Wine,3,3.75,91
8,Didier Champalou Vouvray,France,"Loire (0.389758, 47.407122)",E.A.R.L. Champalou,Chenin Blanc,12.99,2007,White Wine,3.5,3.375,90
9,Nicolas Potel Vosne-Romanée les Gaudichots Premiere Cru,France,"Burgundy (4.828234, 46.839000)",Nicolas Potel,Pinot Noir,48.99,2005,Red Wine,4,0,92
10,Laurent-Perrier Rose Cuvee Alexandra Grand Siecle,France,"Champagne (3.850451, 49.233237)",Laurent-Perrier,Pinot Noir,89.99,1997,Sparkling Wine,4,5,91
11,Delamotte Blancs de Blancs,France,"Champagne (3.850451, 49.233237)",Delamotte,Pinot Noir,93,1999,Sparkling Wine,4,4,91
12,Château Beaulieu Comtes de Tastes,France,"Bordeaux (-0.434217, 44.966195)",Château de Beaulieu,Merlot,17.99,2003,Red Wine,3.5,1.625,89
13,Château de Reignac Sémillon-Sauvignon Blanc Blend Bordeaux Supérieur Blanc,France,"Bordeaux (-0.434217, 44.966195)",Château de Reignac,Sauvignon Blanc,42.99,2005,Red Wine,4,3.611111111,91.33333333
14,Château Moulin de la Roquille Red Bordeaux Blend Côtes de Francs,France,"Bordeaux (-0.434217, 44.966195)",Chateau Moulin de la Roquille,Merlot,17.99,2005,Red Wine,2.5,2.5,86
15,Château Haut Nadeau Red Bordeaux Blend Bordeaux Supérieur Cuvée Prestige,France,"Bordeaux (-0.434217, 44.966195)",Château Haut Nadeau,Bordeaux Blend,14.99,2005,Red Wine,3,2.708333333,87
16,Château le Bonnat Red Bordeaux Blend Graves,France,"Bordeaux (-0.434217, 44.966195)",Chateau Le Bonnat,Merlot,19,2005,Red Wine,3,3.285714286,87
17,Domaine Marc Kreydenweiss Pinot Blanc,France,"Alsace (7.366076, 47.954467)",Domaine Marc Kreydenweiss,Pinot Blanc,23.99,2005,White Wine,3,3.285714286,88.5
18,Saint-Amour Aoc,France,"Burgundy (4.828234, 46.839000)",Georges Duboeuf,Gamay,23.99,2005,Red Wine,3.5,3.565217391,90
19,Fleurie Clos de la Roilette Coudert,France,"Burgundy (4.828234, 46.839000)",Coudert Pere Et Fils,Gamay,19.99,2007,Red Wine,3.5,3.25,89
23,Juslyn Spring Mountain Estate,USA,"California (-122.387185, 38.406418)",Juslyn Vineyards,Cabernet Sauvignon,85.99,2003,Red Wine,4,4.5,89
24,Corinne & Thierry Drouin La Roche,France,"Burgundy (4.828234, 46.839000)",Domaine Corinne & Thierry Drouin,Chardonnay,25,2007,White Wine,3.5,4,88
20,Château de Lamarque Haut-Médoc Cru Bourgeois Supérieur Vin Rouge Vin Tranquille France Bordeaux A.o.c.-cru Bourgeois Sc Gromand d'Evry,France,"Bordeaux (-0.434217, 44.966195)",Sociedade Agrícola Do Vale Da Vilariç,Bordeaux Blend,33.12,2000,Red Wine,4,4.7,89
22,Gallo Family Vineyards Cabernet Sauvignon Dry Creek Valley Frei Ranch,USA,"California (-122.387185, 38.406418)",Gallo Family Vineyards,Cabernet Sauvignon,11.99,2003,Red Wine,3.5,3.166666667,89
25,Red Bicyclette French Rosé,France,"Languedoc-Roussillon (3.234202, 43.537080)",Red Bicyclette,Rosé,8.09,2005,Rosé Wine,3,2.75,76
26,Château Moyau Rosé Blend Coteaux du Languedoc la Clape,France,"Languedoc-Roussillon (3.234202, 43.537080)",Chateau Moyau,Grenache,16,2007,Rosé Wine,3.5,3.6,89
27,Fleurie Chateau du Chatelard Red,France,"Burgundy (4.828234, 46.839000)",Chateau du Chatelard,Gamay,14.26,2007,Red Wine,2.5,3,83
28,Xavier Flouret Marly,France,"Burgundy (4.828234, 46.839000)",Xavier Flouret,Chardonnay,24.99,2009,White Wine,3.5,3.75,87
29,Xavier Flouret Marly,France,"Burgundy (4.828234, 46.839000)",Xavier Flouret,Chardonnay,24.99,2008,White Wine,4,4.125,88
30,Lang & Reed Cabernet Franc North Coast Red Shed,USA,"California (-122.387185, 38.406418)",Lang & Reed Wine Co.,Bordeaux Blend,80,2004,Red Wine,4,4,90
31,Reignac Red Bordeaux Blend Bordeaux Supérieur,France,"Bordeaux (-0.434217, 44.966195)",Reignac,Bordeaux Blend,52.8,2000,Red Wine,4,1,90
32,Clos la Coutale Cahors 12b-1,France,"South West (1.685129, 43.910241)",Clos La Coutale,Malbec,16.99,2007,Red Wine,3,3.25,90
33,Bordeaux,France,"Bordeaux (-0.434217, 44.966195)",Mouton-cadet,Bordeaux Blend,14.39,2008,Red Wine,3.5,3.666666667,92
34,Coteaux du Languedoc,France,"Languedoc-Roussillon (3.234202, 43.537080)",Domaine de Nizas,Syrah,14.99,2006,Red Wine,3.5,1.166666667,90
35,Regnie Mommessin Mommessin,France,"Burgundy (4.828234, 46.839000)",Mommessin,Gamay,18.99,2005,Red Wine,3,2.5,86
37,Xavier Flouret Pinot Noir Menetou-Salon Rouge Noir,France,"Loire (0.389758, 47.407122)",Xavier Flouret,Pinot Noir,24.99,2006,Red Wine,4,4.166666667,88
38,Continuum,USA,"California (-122.387185, 38.406418)",Continuum,Cabernet Sauvignon,140,2007,Red Wine,4,2.5,96.33333333
68,Breton Bourgeuil Trinch,France,"Loire (0.389758, 47.407122)",Catherine & Pierre Bréton,Cabernet Sauvignon,14.99,2007,Red Wine,3.5,3.9,88
69,Château Thivin Côte de Brouilly,France,"Burgundy (4.828234, 46.839000)",Château Thivin,Gamay,9.59,2006,Red Wine,3.5,4.5,87.5
70,Château de la Chaize Brouilly,France,"Burgundy (4.828234, 46.839000)",Château De La Chaize,Gamay,17.99,2005,Red Wine,3.5,3.375,86
44,Bonneau du Martray Corton Charlemagne Burgundy,France,"Burgundy (4.828234, 46.839000)",Bonneau du Martray,Chardonnay,168.8,2004,White Wine,4,4,93
45,Louis Latour Aloxe Corton Premiere Cru les Chaillots,France,"Burgundy (4.828234, 46.839000)",Louis Latour,Pinot Noir,51.95,2009,Red Wine,3,3.25,91
46,Jadot Corton Greves,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,76.89,2010,Red Wine,3.5,2.166666667,89
47,Château de Pibarnon Bandol Blanc,France,"Provence (6.267443, 43.581821)",Château de Pibarnon,Rhône Blend,44.99,2005,White Wine,4,4.25,95
48,Domaine Tempier Bandol Cuvée Spéciale,France,"Provence (6.267443, 43.581821)",Domaine Tempier,Mourvèdre,36,2006,Red Wine,3.5,3.416666667,92.5
49,Louis Jadot Morgon,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Gamay,53.61,2004,Red Wine,3,3.1,84.5
50,Saint-Amour Ac,France,"Burgundy (4.828234, 46.839000)",Joseph Drouhin,Gamay,20.59,2006,Red Wine,3.5,3.25,91
51,Lapierre Morgon,France,"Burgundy (4.828234, 46.839000)",Marcel Lapierre,Gamay,24.99,2007,Red Wine,2.5,2,84
52,Barton & Guestier Beaujolais-Villages,France,"Burgundy (4.828234, 46.839000)",Barton&Guestier,Gamay,13.5,2009,Red Wine,4,4.5,86
53,Louis Jadot Beaujolais-Villages Combe Aux Jacques & Bourgogne Chardonnay 20 France Maison Louis Jadot,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Chardonnay,11.99,2009,White Wine,3.5,3.3,88
54,Beaujolais-Villages 'Combe Aux Jacques' L. Jadot,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Gamay,11.99,2006,Red Wine,3.5,3.476744186,85
55,Louis Jadot Chardonnay Meursault-Blagny Premier Cru,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Chardonnay,13.25,2009,White Wine,3,2.4,87
56,Château Gigault Red Bordeaux Blend Premières Côtes de Blaye Cuvée Viva,France,"Bordeaux (-0.434217, 44.966195)",Château Petit Védrines,Bordeaux Blend,26.99,2005,Red Wine,3.5,1.75,89
58,Louis Jadot Pinot Noir Bonnes Mares Grand Cru,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,219.99,2006,Red Wine,3.5,3.71875,94
59,Louis Jadot Pinot Noir Bonnes Mares Grand Cru,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,145,2004,Red Wine,4,4.833333333,90.5
60,Domaine Jacques-Frederic Mugnier Bonnes Mares,France,"Burgundy (4.828234, 46.839000)",Domaine Jacques-Frederic Mugnier,Pinot Noir,251.98,2004,Red Wine,4,4.25,90
61,Château de Fesles Bonnezeaux,France,"Loire (0.389758, 47.407122)",Château de Fesles,Chenin Blanc,49.99,2007,Dessert/Fortified,3.5,4,88
62,Château Doisy-Daëne Grand Vin Sec,France,"Bordeaux (-0.434217, 44.966195)",Château Doisy-Daëne,Sauvignon Blanc,49,2005,White Wine,4,4.333333333,91
63,Le Blanc du Château Prieuré-Lichine,France,"Bordeaux (-0.434217, 44.966195)",Château Prieuré-lichine,Sauvignon Blanc,71.64,1998,Red Wine,3.5,5,87
65,Le Blanc du Château Prieuré-Lichine,France,"Bordeaux (-0.434217, 44.966195)",Château Prieuré-lichine,Sauvignon Blanc,59.99,2004,White Wine,3.5,3.444444444,89.75
66,Mischief and Mayhem Chardonnay Bourgogne Blanc,France,"Burgundy (4.828234, 46.839000)",Mischief and Mayhem,Chardonnay,71.59,2009,White Wine,3,3.375,88
67,Frederic Mabileau Saint-Nicolas-de-Bourgueil les Rouilleres,France,"Loire (0.389758, 47.407122)",Frederic Mabileau,Cabernet Sauvignon,13.99,2005,Red Wine,3.5,2.833333333,91
64,Le Blanc du Château Prieuré-Lichine,France,"Bordeaux (-0.434217, 44.966195)",Domaine du Mas Blanc - S.C.A Docteur Parcé & Fils Propriétaire,Sauvignon Blanc,62.88,2002,White Wine,3,3,88.33333333
71,Les Vignerons de Buzet Red Bordeaux Blend Buzet Baron d'Ardeuil,France,"South West (1.685129, 43.910241)",Les Vignerons de Buzet,Bordeaux Blend,16.99,2000,Red Wine,3.5,3.1,85
73,Château de Pennautier Red Blend Cabardès l'Esprit de Pennautier,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château de Pennautier,Syrah,18.17,2004,Red Wine,3,2.666666667,78
74,Château de Haute-Serre Malbec Blend Cahors,France,"South West (1.685129, 43.910241)",Château de Haute-Serre,Malbec,21.99,2002,Red Wine,3.5,3.875,88
75,Château Vrai Canon Bouché Red Bordeaux Blend Canon-Fronsac,France,"Bordeaux (-0.434217, 44.966195)",Château Vrai Canon Bouché,Merlot,142.99,2003,Red Wine,3.5,4.25,90.5
76,Château du Gazin Red Bordeaux Blend Canon-Fronsac,France,"Bordeaux (-0.434217, 44.966195)",Château du Gazin,Bordeaux Blend,94.22,2001,Red Wine,4,4.1,90.25
77,William Fevre Champ Royaux Chablis,France,"Burgundy (4.828234, 46.839000)",Viña William Fèvre,Chardonnay,25.99,2011,White Wine,3.5,3.75,88
78,Domaine Christian Moreau Pere et Fils Chablis Grand Cru les Clos,France,"Burgundy (4.828234, 46.839000)",Domaine Christian Moreau Père et Fils,Chardonnay,93.79,2006,White Wine,4,4.166666667,93
79,Domaine Christian Moreau Chablis Premier Cru Vaillon Cuvée Guy Moreau,France,"Burgundy (4.828234, 46.839000)",Domaine Christian Moreau Père et Fils,Chardonnay,92.01,2008,White Wine,3.5,3.916666667,92.33333333
80,Moreau Fils J. & Chablis Domaine de Biéville,France,"Burgundy (4.828234, 46.839000)",Domaine de Bieville,Chardonnay,61.23,2005,White Wine,3.5,3.5,92
81,Moreau Chablis',France,"Burgundy (4.828234, 46.839000)",Domaine Christian Moreau Père et Fils,Chardonnay,24.99,2009,White Wine,3.5,2.333333333,90.2
82,Domaine William Fevre Chablis Grand Cru les Clos,France,"Burgundy (4.828234, 46.839000)",Viña William Fèvre,Chardonnay,95,2006,White Wine,4,4,96.5
83,Domaine William Fevre Grand Cru Bougros Cote Bouguerots Chablis Ml,France,"Burgundy (4.828234, 46.839000)",Viña William Fèvre,Chardonnay,76.15,2004,White Wine,4,1.666666667,94.5
84,Verget Chablis Grand Cru Bougros,France,"Burgundy (4.828234, 46.839000)",Verget Maison,Chardonnay,48,1999,White Wine,3.5,4.5,89
85,Domaine Billaud-Simon Chablis Grand Cru Vaudésir,France,"Burgundy (4.828234, 46.839000)",Domaine Billaud-simon,Chardonnay,72.34,2002,White Wine,4,2.5,92.5
86,Domaine Christian Moreau Pere et Fils Chablis Grand Cru Valmur,France,"Burgundy (4.828234, 46.839000)",Domaine Christian Moreau Père et Fils,Chardonnay,114.64,2006,White Wine,4,4.25,93
87,Maison Albert Bichot Chablis Grand Cru Domaine Long-Depaquit Moutonne,France,"Burgundy (4.828234, 46.839000)",Albert Bichot,Chardonnay,74.99,2006,White Wine,3.5,1.75,91
88,Jadot Chambertin Clos de Beze,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,19.99,2009,Red Wine,3.5,3.2,90.5
90,Ayala Champagne Blend Champagne Perle d'Ayala,France,"Champagne (3.850451, 49.233237)",Ayala,Champagne,166.65,2001,Sparkling Wine,4,4.333333333,92
91,Ayala Champagne Blend Champagne Brut,France,"Champagne (3.850451, 49.233237)",Ayala,Pinot Noir,79,1999,Sparkling Wine,4,4.666666667,85
92,Bollinger Champagne Blend Champagne,France,"Champagne (3.850451, 49.233237)",Bollinger,Pinot Noir,134.74,2003,Sparkling Wine,3.5,3.75,93
93,Ayala Champagne Blend Champagne Perle d'Ayala Nature,France,"Champagne (3.850451, 49.233237)",Ayala,Chardonnay,150,2002,Sparkling Wine,4,5,92
94,Dom des Baumaed Chaume,France,"Loire (0.389758, 47.407122)",Domaine des Baumard,Chenin Blanc,22.99,2004,White Wine,4,4,90.33333333
95,Domaine des Baumard Quarts de Chaume,France,"Loire (0.389758, 47.407122)",Domaine des Baumard,Chenin Blanc,124.99,1995,White Wine,4,4.25,98
96,Baumard Quarts de Chaume,France,"Loire (0.389758, 47.407122)",Domaine des Baumard,Chenin Blanc,77.03,2005,Dessert/Fortified,4.5,5,94.25
98,Bouchard Pere et Fils Chevalier Montrachet France-Bordeaux-Dry White,France,"Burgundy (4.828234, 46.839000)",Bouchard Père et Fils,Bordeaux Blend,17.99,2009,Red Wine,3,3,91.5
99,Bouchard Pere et Fils Chevalier-Montrachet Grand Cru Double,France,"Burgundy (4.828234, 46.839000)",Bouchard Père et Fils,Chardonnay,114.33,2008,Red Wine,4,4.166666667,92
